#
# Sources from ATCA catalog (Murphy et al. 2010 2010MNRAS.402.2403M) 
# which do NOT have ALMA measurements, but could have an entry in the full DB 
#
# RA and Dec in deg. The mean uncertainties (ATCA) are 13.5 arcsec (RA) and 1.0 arcsec (Dec)
# ALMA RA and Dec and error values from the ALMA DB 
# 20GHz: flux at 20 GHz from 2010 paper
#        sources with flux20G=error, do not have an entry in Murphy data (extended sources)
#        sources with error=0, do not have any error entry in Murphy data
# 93GHz: flux at 93 GHz observed at ATCA, from website (ATCA Calibrator Database v3)
#        Note the observation date was not provided in the website output search
# B3estimate=20GHz/4
# Flags: g=good or p=poor data quality
#        e = extended source
#        h = Galactic HII region
#        p = Galactic planetary nebula
#        m = Magellanic clouds source
#        l = no match in low frequency surveys
#        b = large and extended See the paper for more details of these classifications
#        nnn = no flag
#
#                                                        Flux Density (mJy)         
#  ATCA Name     RA(deg)  errRA  Dec(deg)  errDec   20GHz  error  93GHz   B3estim    Flags       ALMAname  ALMAra(deg) error  ALMAdec(deg) error
#
J233612-523622	354.051165	0.00375	-52.60617	0.00028	1069	53	NONE	267.25	g	nnn					
J091805-120532	139.524255	0.00375	-12.09236	0.00028	1056	52	NONE	264	p	e					
J224616-560746	341.56917	0.00375	-56.12947	0.00028	1052	52	NONE	263	g	nnn	J2246-5607|J224617-560750	341.5699661	0	-56.129444842	0
J170336-621238	255.901785	0.00375	-62.21058	0.00028	1051	53	NONE	262.75	g	nnn					
J090216-141530	135.570255	0.00375	-14.25858	0.00028	1044	50	502	261	g	nnn					
J034035-211930	55.148535	0.00375	-21.32522	0.00028	1040	68	104	260	g	nnn					
J171310-341827	258.29175	0.00375	-34.30769	0.00028	1026	51	NONE	256.5	g	nnn					
J022256-344127	35.734995	0.00375	-34.69103	0.00028	1019	42	NONE	254.75	g	nnn					
J225641-201141	344.17191	0.00375	-20.19481	0.00028	996	65	NONE	249	p	nnn	J2256-2011|J225640-201141	344.171698813	0	-20.194586083	0
J002549-260212	6.45492	0.00375	-26.03686	0.00028	984	62	189	246	g	nnn					
J223015-132543	337.56333	0.00375	-13.42869	0.00028	973	49	NONE	243.25	g	nnn	J2230-1325|J223015-132538	337.563775092	0	-13.428583558	0
J011612-113614	19.052205	0.00375	-11.60406	0.00028	972	48	934	243	g	nnn	J0116-1136|J0116-116|J011611-113617|B0113-118	19.0521751	0.0000002	-11.6042873	0.0000004
J025928-001959	44.86929	0.00375	-0.33319	0.00028	965	47	NONE	241.25	g	nnn	J0259-0019	44.8688173	0.0000001	-0.3333265	0.0000001
J111827-463415	169.61283	0.00375	-46.57089	0.00028	957	44	882	239.25	g	nnn	J1118-4634	169.6123236	0.0000001	-46.5708337	0.0000001
J233355-234340	353.48034	0.00375	-23.728	0.00028	957	48	2372	239.25	p	nnn	J2333-2343|J2333-237|J233354-234342|B2331-240	353.48016	0.0000003	-23.72796	0.0000005
J193924-634245	294.853455	0.00375	-63.71258	0.00028	951	48	116	237.75	g	nnn					
J051349-215917	78.45459	0.00375	-21.98817	0.00028	942	62	NONE	235.5	g	nnn					
J235600-682003	359.003535	0.00375	-68.33433	0.00028	942	47	245	235.5	g	nnn					
J034839-161017	57.163665	0.00375	-16.17144	0.00028	940	62	NONE	235	g	nnn	J0348-1610|J034839-161010	57.163628071	0	-16.171597853	0
J224703-365746	341.76588	0.00375	-36.96289	0.00028	938	62	NONE	234.5	g	nnn	J2247-3657|J2247-370|J224704-365755	341.7663222	0.0000004	-36.9628622	0.0000003
J091944-534005	139.933965	0.00375	-53.66808	0.00028	936	46	239	234	g	e					
J210544-782535	316.437465	0.00375	-78.42639	0.00028	936	61	391	234	g	nnn	J2105-7825|J210544-782536	316.437339392	0	-78.426263053	0
J233445-525119	353.68788	0.00375	-52.85547	0.00028	934	46	NONE	233.5	p	nnn	J2334-5251	353.687152988	0	-52.855454033	0
J234512-155507	356.30196	0.00375	-15.91886	0.00028	930	47	NONE	232.5	g	nnn	J2345-1555|J234511-155507	356.301926338	0	-15.918842878	0
J110712-682051	166.80279	0.00375	-68.34775	0.00028	927	45	318	231.75	g	nnn					
J230343-680737	345.931965	0.00375	-68.12697	0.00028	912	45	NONE	228	g	nnn					
J041604-205629	64.01784	0.00375	-20.94139	0.00028	907	101	195	226.75	g	nnn					
J024008-230915	40.033875	0.00375	-23.15436	0.00028	897	58	232	224.25	g	nnn					
J123159-022404	187.999785	0.00375	-2.40117	0.00028	897	45	NONE	224.25	g	nnn					
J023945-023440	39.93984	0.00375	-2.57794	0.00028	895	39	310	223.75	g	nnn					
J080451-274911	121.21434	0.00375	-27.81992	0.00028	895	58	239	223.75	g	nnn					
J135446-104103	208.694295	0.00375	-10.68422	0.00028	886	42	1296	221.5	g	nnn					
J003820-020740	9.586245	0.00375	-2.128	0.00028	885	36	NONE	221.25	g	e					
J011857-214130	19.738755	0.00375	-21.69167	0.00028	885	57	937	221.25	g	nnn					
J213018-092736	322.579035	0.00375	-9.46025	0.00028	882	44	NONE	220.5	g	nnn	J2130-0927|J213018-092729	322.579534425	0	-9.460398653	0
J131504-533436	198.76767	0.00375	-53.57667	0.00028	865	43	NONE	216.25	g	nnn	J1315-5334	198.7674225	0.0000005	-53.5766333	0.0000005
J034957-210247	57.49092	0.00375	-21.04644	0.00028	864	56	NONE	216	g	nnn	J0349-2102|J034957-210247	57.490944479	0	-21.046594844	0
