ATCA_name,RA_atca,errRA_atca,DEC_atca,errDEC_atca,f20,ef20,f93,B3est,Flags,Flags2,ALMAname,SOURCE_ID,distance_alma,distance_vlbi,distance_grid,CATALOGUE_ID,RA_alma,RA_UNCERTAINTY_alma,DEC_alma,DEC_UNCERTAINTY_alma,FREQUENCY,FLUX,FLUX_UNCERTAINTY,DATE_OBSERVED,VALID,IVS,name,RA_vlbi,DEC_vlbi,Grid_close,OTHER,OTHER2
J053628-340110,84.1185,0.00375,-34.01967,0.00028,842,40,576,210.5,g,nnn,,2701,0.6631041764,0.6631469146,13252.5292481431,3,84.1184682,0.0000003,-34.0198523,0.0000003,4850000000,0.663,,2006-12-19 00:00:00,1,0534-340,J0536-3401,84.1184682,-34.0198523111,J0522-3627|J0522-364|B0521-365,,
J022934-784744,37.393785,0.00375,-78.79556,0.00028,837,42,NONE,209.25,g,nnn,,1237,2.03439297,2.0360709426,48713.1627720558,3,37.39561,,-78.796,,4850000000,0.498,,2006-12-19 00:00:00,1,0230-790,J0229-7847,37.3956108292,-78.7960004694,J0635-7516|J063542-751615|B0637-752,,
J212113-370308,320.30496,0.00375,-37.05244,0.00028,823,41,NONE,205.75,g,nnn,J2121-3703|J212111-370320,9146,0.1252650921,0.1252650921,40264.6768728092,5,320.3049741417,6.11111111111111E-008,-37.0524729139,1.13888888888889E-007,254970000000,0.06,0.02,2012-06-27 00:00:00,1,2118-372,J2121-3703,320.3049741417,-37.0524729139,J2056-4714|J2056-472|J205615-471445|B2052-474,,
J221302-252930,333.260835,0.00375,-25.49186,0.00028,799,52,NONE,199.75,g,nnn,,9568,1.517152877,1.517152877,37284.8576092554,5,333.2604082583,3.33333333333333E-008,-25.4916890389,3.61111111111111E-008,91460000000,0.25,0.03,2013-12-30 00:00:00,1,2210-257,J2213-2529,333.2604082583,-25.4916890389,J2258-2758|J2258-279|J225805-275823|B2255-282,,
J051644-620706,79.186995,0.00375,-62.11836,0.00028,793,37,NONE,198.25,g,nnn,,2546,0.7913153681,0.7810414644,53325.2507024807,3,79.18719,,-62.11816,,4850000000,0.564,,2006-12-19 00:00:00,1,0516-621,J0516-6207,79.1871923833,-62.1181636611,J0635-7516|J063542-751615|B0637-752,,
J233138-155657,352.91121,0.00375,-15.94917,0.00028,789,40,824,197.25,g,nnn,,10150,0.5474347619,0.5474261335,51507.802121899,5,352.91105185,3.05555555555556E-008,-15.9491693639,3.05555555555556E-008,254970000000,0.2,0.04,2012-09-02 00:00:00,1,2329-162,J2331-1556,352.91105185,-15.9491693639,J2258-2758|J2258-279|J225805-275823|B2255-282,,
J140610-070705,211.545,0.00375,-7.11806,0.00028,781,39,NONE,195.25,g,nnn,,13320,2.7134656752,2.7139425985,32861.7145733263,21,211.5450572,0.0000001,-7.1173084,0.0000001,20000000000,0.781,0.039,2006-01-01 00:00:00,1,1403-068,J1406-0707,211.545057125,-7.1173082611,J1337-1257|J1337-129|J133739-125720|B1334-127,,
J194524-552049,296.35092,0.00375,-55.347,0.00028,779,39,604,194.75,g,nnn,,8458,0.3652008963,0.3671101192,49175.4685426212,3,296.35095,,-55.3469,,4850000000,0.832,,2006-12-19 00:00:00,1,1941-554,J1945-5520,296.3509527667,-55.3468997417,J2056-4714|J2056-472|J205615-471445|B2052-474,,
J162418-680911,246.076665,0.00375,-68.15325,0.00028,769,38,NONE,192.25,g,nnn,,7212,0.8187686953,0.823485674,33778.0532804019,3,246.07682,,-68.15347,,4850000000,2.123,,2006-12-19 00:00:00,1,1619-680,J1624-6809,246.07682085,-68.1534712722,J1617-5848|J1613-586,,
J105109-534446,162.788295,0.00375,-53.74622,0.00028,768,38,459,192,g,nnn,J1051-5344,4720,0.819247381,0.819247381,33468.2788938311,5,162.787916725,1.97222222222222E-007,-53.7462617917,7.77777777777778E-008,343250000000,0.13,0.03,2011-11-15 00:00:00,1,1049-534,J1051-5344,162.787916725,-53.7462617917,J1107-4449|J1107-448|J110707-444905|B1104-445,,
J113130-050019,172.87767,0.00375,-5.00547,0.00028,767,38,361,191.75,g,nnn,,5025,1.8540700102,1.8539044076,37960.1299182844,3,172.8771531,0.0000004,-5.0054604,0.0000007,4850000000,0.757,,2006-12-19 00:00:00,1,1128-047,J1131-0500,172.8771531458,-5.0054603778,J1058+0133|J1058+015|J105830+013340|B1055+018,,
J155941-244240,239.92191,0.00375,-24.71117,0.00028,767,50,NONE,191.75,g,nnn,,7052,2.4738942817,2.4738942817,34390.8428091908,5,239.9225378542,3.88888888888889E-008,-24.7107866944,3.61111111111111E-008,106250000000,0.07,,2012-05-13 00:00:00,0,1556-245,J1559-2442,239.9225378542,-24.7107866944,J1517-2422|J1517-243|J151743-242216|B1514-241,,
J123942-102326,189.928995,0.00375,-10.39064,0.00028,766,35,NONE,191.5,g,nnn,,5546,2.8284432286,2.8285050174,22127.8227099746,3,189.9294228,0.0000001,-10.3913035,0.0000002,4850000000,1.18,,2006-12-19 00:00:00,1,1237-101,J1239-1023,189.9294227958,-10.3913035222,J1256-0547|J1256-057|J125610-054722|3C279|B1253-055,,
J012457-511316,21.239085,0.00375,-51.22111,0.00028,745,37,NONE,186.25,g,nnn,,682,0.2066171737,0.2005381809,48349.6142158171,3,21.23913,,-51.22116,,4850000000,0.308,,2006-12-19 00:00:00,1,0122-514,J0124-5113,21.2391311375,-51.2211576306,J2357-5311|J235752-531116|B2355-534,,
J130839-095032,197.162745,0.00375,-9.84225,0.00028,726,35,319,181.5,g,nnn,,5782,1.5072449053,1.4927976119,18339.9743689197,2,197.16316,0.0000721,-9.84234,0.0001081,333102731.111111,8,,2000-01-01 00:00:00,1,1306-095,J1308-0950,197.1631563167,-9.8423378056,J1256-0547|J1256-057|J125610-054722|3C279|B1253-055,,
J043900-452222,69.753465,0.00375,-45.37294,0.00028,700,30,665,175,g,nnn,,2262,0.2442098296,0.2440163347,25735.9794234231,3,69.7535612,0.0000003,-45.3729341,0.0000003,4850000000,0.634,,2006-12-19 00:00:00,1,0437-454,J0439-4522,69.7535611292,-45.3729341389,J0519-4546|J0519-454,,
J121806-460030,184.526085,0.00375,-46.00839,0.00028,696,31,NONE,174,g,nnn,,5379,1.2291612397,1.2169301294,44941.18116112,2,184.52604,2.77777777777778E-007,-46.00805,2.77777777777778E-007,1498962290,4.6,,2001-08-01 00:00:00,1,1215-457,J1218-4600,184.5260447375,-46.0080531222,J1107-4449|J1107-448|J110707-444905|B1104-445,,
J124823-195918,192.099465,0.00375,-19.98844,0.00028,689,35,NONE,172.25,g,nnn,,5602,0.4262875315,0.4263096918,49448.9690583025,2,192.0995755,0.0000017,-19.9884969,0.0000028,333102731.111111,8,,2001-08-01 00:00:00,1,1245-197,J1248-1959,192.0995753875,-19.9884971111,J1337-1257|J1337-129|J133739-125720|B1334-127,,
J062706-352916,96.778035,0.00375,-35.48778,0.00028,688,29,NONE,172,g,nnn,,12337,0.6241043074,0.6688279433,45436.658567283,3,96.778083,,-35.4876111,,4850000000,2.251,,2006-12-19 00:00:00,1,0625-354,J0627-3529,96.7780390958,-35.4875942444,J0538-4405|J0538-440|J053851-440507|B0537-441,,
