Event Result UID Scan 
FocusReducedEvent: SUCCESS uid://A002/X82b2f1/Xcf 2 
  0  
WVRReducedEvent: SUCCESS uid://A002/X82b2f1/Xd87 1 
PointingReducedEvent: SUCCESS uid://A002/X82b2f1/Xd87 1 
WVRReducedEvent: SUCCESS uid://A002/X82b2f1/Xd87 2 
WVRReducedEvent: SUCCESS uid://A002/X82b2f1/Xd87 3 
AtmosphereReducedEvent: SUCCESS uid://A002/X82b2f1/Xd87 3 
WVRReducedEvent: SUCCESS uid://A002/X82b2f1/Xd87 4 
DelayReducedEvent: SUCCESS uid://A002/X82b2f1/Xd87 4 
WVRReducedEvent: SUCCESS uid://A002/X82b2f1/Xd87 5 
AtmosphereReducedEvent: SUCCESS uid://A002/X82b2f1/Xd87 5 
WVRReducedEvent: SUCCESS uid://A002/X82b2f1/Xd87 7 "Missing CAL_WVR, scan 6"
AtmosphereReducedEvent: SUCCESS uid://A002/X82b2f1/Xd87 7 
WVRReducedEvent: SUCCESS uid://A002/X82b2f1/Xd87 8 
  0  
WVRReducedEvent: SUCCESS uid://A002/X82b2f1/Xfb 1 
PhaseCalReducedEvent: SUCCESS uid://A002/X82b2f1/Xfb 1 
WVRReducedEvent: SUCCESS uid://A002/X82b2f1/Xfb 2 
  0  
PointingReducedEvent: FAIL uid://A002/X82e118/X1010 1 
  0  
PointingReducedEvent: FAIL uid://A002/X82e118/X1166 1 
  0  
PointingReducedEvent: FAIL uid://A002/X82e118/X11d6 1 
  0  
WVRReducedEvent: SUCCESS uid://A002/X82e118/X124b 1 
PointingReducedEvent: SUCCESS uid://A002/X82e118/X124b 1 
WVRReducedEvent: SUCCESS uid://A002/X82e118/X124b 2 
WVRReducedEvent: SUCCESS uid://A002/X82e118/X124b 3 
AtmosphereReducedEvent: SUCCESS uid://A002/X82e118/X124b 3 
WVRReducedEvent: SUCCESS uid://A002/X82e118/X124b 4 
WVRReducedEvent: SUCCESS uid://A002/X82e118/X124b 5 
PointingReducedEvent: SUCCESS uid://A002/X82e118/X124b 5 
  0  
PointingReducedEvent: FAIL uid://A002/X82e118/X124c 1 
  0  
PointingReducedEvent: FAIL uid://A002/X82e118/X1292 1 
  0  
PointingReducedEvent: FAIL uid://A002/X82e118/X13a0 1 
  0  
PointingReducedEvent: FAIL uid://A002/X82e118/X13b5 1 
  0  
WVRReducedEvent: SUCCESS uid://A002/X82e118/X1494 1 
PointingReducedEvent: SUCCESS uid://A002/X82e118/X1494 1 
WVRReducedEvent: SUCCESS uid://A002/X82e118/X1494 2 
WVRReducedEvent: SUCCESS uid://A002/X82e118/X1494 3 
AtmosphereReducedEvent: SUCCESS uid://A002/X82e118/X1494 3 
WVRReducedEvent: SUCCESS uid://A002/X82e118/X1494 4 
WVRReducedEvent: SUCCESS uid://A002/X82e118/X1494 5 
AtmosphereReducedEvent: SUCCESS uid://A002/X82e118/X1494 5 
WVRReducedEvent: SUCCESS uid://A002/X82e118/X1494 6 
PhaseCalReducedEvent: SUCCESS uid://A002/X82e118/X1494 6 
BandPassReducedEvent: SUCCESS uid://A002/X82e118/X1494 6 
WVRReducedEvent: SUCCESS uid://A002/X82e118/X1494 7 
AtmosphereReducedEvent: SUCCESS uid://A002/X82e118/X1494 7 
WVRReducedEvent: SUCCESS uid://A002/X82e118/X1494 8 
AmpliCalReducedEvent: SUCCESS uid://A002/X82e118/X1494 8 
WVRReducedEvent: SUCCESS uid://A002/X82e118/X1494 9 
AtmosphereReducedEvent: SUCCESS uid://A002/X82e118/X1494 9 
  0  
