vla_name p_err ra dec est_flux 
0403+260 0.001 04:03:05.586048 26:00:01.502740 0.2 
0427+049 0.001 04:27:47.570514 04:57:08.325980 0.2 
0519+088 0.005 05:19:10.8113 08:48:56.717 0.2 
0521+166 0.001 05:21:09.886021 16:38:22.051220 0.2 
0552+032 0.001 05:52:50.101478 03:13:27.243150 0.2 
0559+238 0.001 05:59:32.033133 23:53:53.926900 0.2 
0702+267 0.005 07:02:31.7918 26:44:11.051 0.2 
0954+177 0.001 09:54:56.823626 17:43:31.222420 0.2 
1116+084 0.005 11:16:09.9728 08:29:22.023 0.2 
1125+261 0.001 11:25:53.711925 26:10:19.978680 0.2 
1130+382 0.001 11:30:53.282612 38:15:18.547070 0.2 
1157+166 0.001 11:57:34.836265 16:38:59.650310 0.2 
1217+301 0.001 12:17:52.081987 30:07:00.636250 0.2 
1310+325 0.001 13:10:59.402725 32:33:34.449560 0.2 
1354-021 0.001 13:54:06.895319 -02:06:03.190510 0.2 
1425+144 0.001 14:25:49.018011 14:24:56.902560 0.2 
1506+375 0.001 15:06:09.529958 37:30:51.132410 0.2 
1602+334 0.001 16:02:07.263468 33:26:53.072670 0.2 
1658+052 0.001 16:58:33.447350 05:15:16.444450 0.2 
1832+139 0.001 18:32:43.471121 13:57:44.400300 0.2 
1838+040 0.005 18:38:48.829034 04:04:24.669270 0.2 
1856+061 0.005 18:56:31.8386 06:10:16.754 0.2 
1930+155 0.05 19:30:52.7324 15:32:34.002 0.2 
1955+139 0.001 19:55:11.571408 13:58:16.240800 0.2 
2035+109 0.001 20:35:22.333316 10:56:06.789170 0.2 
2051+177 0.001 20:51:35.582917 17:43:36.900710 0.2 
2151+071 0.001 21:51:31.429323 07:09:26.783920 0.2 
2157+314 0.005 21:57:28.8242 31:27:01.361 0.2 
2225+213 0.001 22:25:38.047132 21:18:06.414850 0.2 
2330+338 0.001 23:30:13.737653 33:48:36.471770 0.2 
2358+199 0.001 23:58:46.085139 19:55:20.302110 0.2 
0110-076 0.001 01:10:50.020945 -07:41:41.113690 0.19 
0126+259 0.001 01:26:42.792631 25:59:01.300790 0.19 
0438+300 0.005 04:38:04.9516 30:04:45.489 0.19 
0700+171 0.001 07:00:01.525538 17:09:21.701540 0.19 
1443+250 0.05 14:43:56.8913 25:01:44.500 0.19 
1707+135 0.005 17:07:45.6364 13:31:05.215 0.19 
0029+349 0.005 00:29:14.242456 34:56:32.246560 0.18 
0117+143 0.005 01:17:25.2035 14:18:12.434 0.18 
0156+392 0.005 01:56:31.4088 39:14:30.929 0.18 
0209+138 0.005 02:09:35.9987 13:52:00.744 0.18 
0254+395 0.001 02:54:42.632103 39:31:34.711080 0.18 
0343+363 0.001 03:43:28.952415 36:22:12.429880 0.18 
0624+389 0.001 06:24:19.021305 38:56:48.735910 0.18 
0724-072 0.05 07:24:17.2992 -07:15:20.259 0.18 
0815+365 0.001 08:15:25.944824 36:35:15.148300 0.18 
1007+139 0.001 10:07:41.498079 13:56:29.600940 0.18 
1012+232 0.005 10:12:16.3896 23:12:14.612 0.18 
1013+248 0.001 10:13:53.428737 24:49:16.441100 0.18 
1015+124 0.001 10:15:44.023405 12:27:07.069280 0.18 
